week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,kicking_xpmade,fumbles_lost,passing_yds,passing_tds,passing_twoptm,passing_ints,kicking_fgm_yds,defense_fgblk,defense_safe
5.0,CLE,DEF,J.Peppers,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
5.0,NYJ,DT,S.McLendon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,RB,I.Crowell,,,,,,,,,,0.0,2.0,60.0,7.0,0.0,0.0,0.0,0.0,,,,,,,,,
5.0,NYJ,DB,B.Skrine,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,LB,D.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,QB,D.Kizer,,,,,,,,,,0.0,,29.0,,,0.0,,0.0,,1.0,87.0,0.0,0.0,1.0,,,
5.0,CLE,P,B.Colquitt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,DEF,J.Burgess,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,TE,A.Seferian-Jenkins,,,,,,,,,,0.0,6.0,,29.0,1.0,,0.0,,,,,,,,,,
5.0,NYJ,WR,J.Kearse,,,,,,,,,,0.0,4.0,,38.0,1.0,,0.0,,,0.0,,,,,,,
5.0,NYJ,OT,B.Shell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,RB,E.McGuire,,,,,,,,,,0.0,2.0,20.0,10.0,0.0,0.0,0.0,0.0,,,,,,,,,
5.0,NYJ,G,B.Winters,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,WR,E.Tomlinson,,,,,,,,,,0.0,1.0,,34.0,0.0,,0.0,,,,,,,,,,
5.0,CLE,OT,S.Coleman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,OLB,J.Jenkins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,WR,B.Treggs,,,,,,,,,,0.0,2.0,,28.0,0.0,,0.0,,,,,,,,,,
5.0,CLE,WR,R.Louis,,,,,,,,,,0.0,5.0,,71.0,0.0,,0.0,,,,,,,,,,
5.0,NYJ,CB,M.Claiborne,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,RB,D.Johnson,,,,,,,,,,0.0,3.0,20.0,63.0,1.0,0.0,0.0,0.0,,,,,,,,,
5.0,NYJ,DT,L.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,DEF,M.Maye,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,DEF,Ja.Adams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,OLB,D.Lee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,DEF,F.Bishop,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,
5.0,CLE,ILB,C.Kirksey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,DB,J.Taylor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,WR,R.Anderson,,,,,,,,,,0.0,2.0,,16.0,0.0,,0.0,,,,,,,,,,
5.0,NYJ,DEF,T.Hennessy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,WR,D.Njoku,,,,,,,,,,0.0,3.0,1.0,48.0,1.0,0.0,0.0,0.0,,,,,,,,,
5.0,NYJ,DB,T.Brooks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,DT,J.Meder,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,,K.Williams,,,,,,,,,,0.0,4.0,,33.0,0.0,,0.0,,,,,,,,,,
5.0,NYJ,DE,M.Wilkerson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,TE,S.DeValve,,,,,,,,,,0.0,3.0,,24.0,0.0,,0.0,,,,,,,,,,
5.0,NYJ,RB,A.Stewart,,,,,,,,,,0.0,,12.0,,,0.0,,0.0,,,,,,,,,
5.0,CLE,DEF,L.Ogunjobi,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,SS,R.Miles,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,CB,M.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,WR,R.Higgins,,,,,,,,,,0.0,2.0,,7.0,0.0,,0.0,,,,,,,,,,
5.0,CLE,LB,N.Orchard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,CB,B.Boddy-Calhoun,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,NYJ,K,C.Catanzaro,,,,,,,,,,0.0,,,,,,,,2.0,,,,,,57.0,,
5.0,CLE,QB,K.Hogan,,,,,,,,,,0.0,,30.0,,,0.0,,0.0,,,194.0,2.0,0.0,1.0,,,
5.0,CLE,FS,D.Kindred,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,G,J.Bitonio,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,C,J.Tretter,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,OLB,J.Schobert,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,DB,I.Campbell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CLE,DEF,T.Coley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,CAR,K,G.Gano,,,,,,,,,,0.0,,,,,,,,3.0,,,,,,65.0,,
5.0,CAR,DB,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
5.0,DET,RB,A.Abdullah,,,,,,,,,,0.0,1.0,31.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,
5.0,DET,WR,M.Jones,,,,,,,,,,0.0,6.0,,54.0,0.0,,0.0,,,,,,,,,,
5.0,CAR,SS,M.Adams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
