week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,rushing_yds,rushing_twoptm,rushing_tds,fumbles_lost,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,passing_yds,passing_tds,passing_twoptm,passing_ints,defense_puntblk,defense_fgblk
6.0,CHI,RB,B.Cunningham,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,RB,B.Rainey,,,,,,,,,,0.0,,,,,,,11.0,2.0,0.0,0.0,,,,,,
6.0,CHI,OLB,S.Acho,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,QB,J.Flacco,,,,,,,,,,0.0,,,2.0,0.0,0.0,,,,,,180.0,0.0,1.0,2.0,,
6.0,BAL,TE,N.Boyle,,,,,,,,,,0.0,,,,,,,15.0,2.0,0.0,1.0,,,,,,
6.0,CHI,LB,D.Trevathan,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,
6.0,BAL,RB,A.Collins,,,,,,,,,,0.0,,,74.0,0.0,0.0,,,,,,,,,,,
6.0,CHI,DE,A.Hicks,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,P,S.Koch,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,DT,M.Pierce,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,
6.0,CHI,RB,Jo.Howard,,,,,,,,,,0.0,,,167.0,0.0,0.0,,9.0,1.0,0.0,0.0,,,,,,
6.0,BAL,LB,Z.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,DEF,P.Onwuasor,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,QB,M.Trubisky,,,,,,,,,,0.0,,,32.0,0.0,0.0,1.0,,,,,113.0,1.0,0.0,0.0,,
6.0,BAL,OLB,T.Suggs,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,WR,T.Gentry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,LB,M.Judon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,TE,D.Sims,,,,,,,,,,0.0,,,,,,,42.0,2.0,1.0,0.0,,,,,,
6.0,BAL,DEF,P.Ricard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,RB,T.Cohen,,,,,,,,,,0.0,,,32.0,0.0,0.0,1.0,14.0,1.0,0.0,0.0,21.0,1.0,0.0,0.0,,
6.0,BAL,SS,T.Jefferson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,DEF,T.Bowser,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,DB,E.Weddle,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,P,P.O'Donnell,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,DB,P.Amukamara,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,WR,M.Wallace,,,,,,,,,,0.0,,,,,,,30.0,3.0,0.0,0.0,,,,,,
6.0,BAL,TE,B.Watson,,,,,,,,,,0.0,,,,,,,28.0,6.0,0.0,0.0,,,,,,
6.0,CHI,FS,A.Amos,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,CB,A.Levine Sr.,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,DEF,E.Jackson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,DEF,C.Wormley,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,ILB,C.Mosley,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,
6.0,BAL,DEF,M.Humphrey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,WR,M.Campanaro,,,,,,,,,,0.0,,,,,,,24.0,3.0,0.0,0.0,,,,,,
6.0,CHI,NT,E.Goldman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,RB,J.Allen,,,,,,,,,,0.0,,,49.0,0.0,0.0,,17.0,3.0,0.0,0.0,,,,,,
6.0,BAL,WR,B.Perriman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,WR,C.Matthews,,,,,,,,,,0.0,,,,,,,5.0,1.0,0.0,0.0,,,,,,
6.0,BAL,DE,B.Kaufusi,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,DT,W.Henry,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,DEF,R.Robertson-Harris,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,CB,K.Fuller,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,ILB,C.Jones,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,TE,M.Williams,,,,,,,,,,0.0,,,,,,1.0,6.0,1.0,0.0,0.0,,,,,,
6.0,CHI,WR,K.Wright,,,,,,,,,,0.0,,,,,,,36.0,2.0,0.0,0.0,,,,,,
6.0,CHI,OLB,L.Floyd,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,CB,B.Callahan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,TE,Z.Miller,,,,,,,,,,0.0,,,,,,,25.0,2.0,1.0,0.0,,,,,,
6.0,CHI,DB,D.Bush,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,WR,J.Bellamy,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,WR,C.Moore,,,,,,,,,,0.0,,,,,,,44.0,3.0,0.0,0.0,,,,,,
6.0,CHI,OLB,P.McPhee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,K,J.Tucker,,,,,,,,,,0.0,108.0,1.0,,,,,,,,,,,,,,
6.0,BAL,CB,L.Webb,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,DEF,C.Clark,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,CB,B.Carr,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,,T.McBride,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,DEF,T.McRae,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,OG,C.Whitehair,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,
6.0,CHI,OLB,J.Anderson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,T,J.Hurst,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,CB,J.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,OT,K.Long,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,DE,M.Unrein,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,FB,M.Burton,,,,,,,,,,0.0,,,,,,,8.0,1.0,0.0,0.0,,,,,,
6.0,CHI,CB,C.LeBlanc,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,BAL,,V.Mayle,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CHI,T,B.Massie,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,CLE,K,Z.Gonzalez,,,,,,,,,,0.0,41.0,2.0,,,,,,,,,,,,,,
6.0,HOU,TE,S.Anderson,,,,,,,,,,0.0,,,,,,,17.0,2.0,0.0,0.0,,,,,,
6.0,CLE,CB,J.McCourty,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,HOU,QB,D.Watson,,,,,,,,,,0.0,,,23.0,0.0,0.0,,,,,,225.0,3.0,1.0,1.0,,
6.0,CLE,OLB,J.Schobert,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
6.0,HOU,RB,L.Miller,,,,,,,,,,0.0,,,41.0,0.0,0.0,,40.0,3.0,0.0,0.0,,,,,,
