week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,passing_yds,passing_twoptm,passing_ints,passing_tds,receiving_rec,receiving_yds,receiving_tds,receiving_twoptm,rushing_yds,rushing_tds,rushing_twoptm,fumbles_lost,kicking_xpmade,kicking_fgm_yds,defense_fgblk,defense_xpblk,defense_puntblk,fumbles_rec_tds
15.0,KC,OLB,J.Houston,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,CB,S.Nelson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,CB,D.Revis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,DT,B.Mebane,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,DE,D.Philon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,RB,A.Ekeler,,,,,,,,,,0.0,,,,,1.0,6.0,0.0,0.0,13.0,0.0,0.0,1.0,,,,,,
15.0,KC,CB,M.Peters,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,,T.Coons,,,,,,,,,,0.0,,,,,,,,,,,,,1.0,,,,,
15.0,KC,,A.Hunt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,WR,T.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,T,E.Fisher,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,WR,A.Wilson,,,,,,,,,,0.0,,,,,1.0,15.0,0.0,0.0,,,,,,,,,,
15.0,LAC,DE,T.Palepoi,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,WR,M.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,DEF,M.Davis,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,DEF,T.Kpassagnon,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,LAC,TE,J.Cumberland,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
15.0,KC,WR,D.Thomas,,,,,,,,,,0.0,,,,,2.0,6.0,0.0,0.0,,,,,,,,,,
15.0,LAC,SS,J.Addae,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
