week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_fgm_yds,kicking_xpmade,receiving_rec,rushing_yds,receiving_yds,receiving_tds,rushing_tds,receiving_twoptm,rushing_twoptm,passing_yds,passing_twoptm,passing_ints,passing_tds,fumbles_lost
2.0,ARI,QB,C.Palmer,,,,,,,,,,0.0,,,,6.0,,,0.0,,0.0,332.0,0.0,1.0,1.0,0.0
2.0,IND,OLB,J.Simon,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,ARI,WR,Ja.Brown,,,,,,,,,,0.0,,,4.0,,73.0,0.0,,0.0,,,,,,
2.0,IND,DE,H.Anderson,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,ARI,P,A.Lee,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,IND,WR,Q.Bray,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2.0,ARI,DEF,E.Penny,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,ARI,CB,J.Bethel,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,IND,QB,J.Brissett,,,,,,,,,,0.0,,,,22.0,,,0.0,,0.0,216.0,0.0,1.0,0.0,0.0
2.0,ARI,DEF,H.Reddick,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,IND,RB,F.Gore,,,,,,,,,,0.0,,,,46.0,,,1.0,,0.0,,,,,
2.0,ARI,DEF,B.Baker,,,,,,,,,,0.0,,,,,,,,,,,,,,
2.0,IND,TE,J.Doyle,,,,,,,,,,0.0,,,8.0,,79.0,0.0,,0.0,,,,,,
