week,team,position,player,team_defense_frec,team_defense_safe,team_puntret_tds,team_points_allowed,team_kickret_tds,team_defense_tds,team_defense_int,team_defense_sk,team_defense_two_pt_return,defense_two_pt_return,kicking_xpmade,kicking_fgm_yds,receiving_yds,receiving_rec,receiving_tds,receiving_twoptm,fumbles_lost,passing_yds,rushing_yds,passing_tds,passing_twoptm,rushing_tds,passing_ints,rushing_twoptm,defense_xpblk,defense_fgblk,fumbles_rec_tds
12.0,DAL,WR,B.Butler,,,,,,,,,,0.0,,,5.0,1.0,0.0,0.0,,,,,,,,,,,
12.0,DAL,DEF,J.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,TE,A.Gates,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,MLB,A.Hitchens,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,CB,A.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,P,D.Kaser,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,
12.0,LAC,DEF,Tr.Williams,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,OLB,K.Wilber,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,K,D.Bailey,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,SS,J.Heath,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,DE,B.Mayowa,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,WR,D.Bryant,,,,,,,,,,0.0,,,37.0,3.0,0.0,0.0,,,,,,,,,,,
12.0,DAL,WR,C.Beasley,,,,,,,,,,0.0,,,19.0,2.0,0.0,0.0,,,,,,,,,,,
12.0,DAL,T,T.Smith,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,LAC,WR,Ty.Williams,,,,,,,,,,0.0,,,58.0,2.0,1.0,0.0,,,,,,,,,,,
12.0,LAC,FB,D.Watt,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,OG,L.Collins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,DEF,L.Neal,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,C,T.Frederick,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,
12.0,DAL,,R.Ash,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,DAL,DEF,C.Awuzie,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,RB,S.Vereen,,,,,,,,,,0.0,,,9.0,1.0,0.0,0.0,,,18.0,,,0.0,,0.0,,,
12.0,WAS,K,N.Rose,,,,,,,,,,0.0,2.0,61.0,,,,,,,,,,,,,,,
12.0,WAS,DEF,P.Robertson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,RB,O.Darkwa,,,,,,,,,,0.0,,,9.0,1.0,0.0,0.0,,,30.0,,,0.0,,0.0,,,
12.0,WAS,,Z.Vigil,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,CB,D.Everett,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,WR,E.Engram,,,,,,,,,,0.0,,,18.0,3.0,0.0,0.0,,,,,,,,,,,
12.0,NYG,QB,E.Manning,,,,,,,,,,0.0,,,,,,,0.0,113.0,-1.0,0.0,0.0,0.0,1.0,0.0,,,
12.0,NYG,P,B.Wing,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,OLB,D.Kennard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,QB,K.Cousins,,,,,,,,,,0.0,,,,,,,,242.0,4.0,2.0,0.0,0.0,1.0,0.0,,,
12.0,WAS,RB,S.Perine,,,,,,,,,,0.0,,,30.0,3.0,0.0,0.0,,,100.0,,,0.0,,0.0,,,
12.0,NYG,FS,L.Collins,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,DE,J.Pierre-Paul,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,SAF,D.Thompson,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,DT,D.Harrison,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,P,T.Way,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,LB,Z.Brown,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,OLB,R.Kerrigan,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,DT,S.McGee,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,NYG,WR,R.Lewis,,,,,,,,,,0.0,,,26.0,3.0,0.0,0.0,,,,,,,,,,,
12.0,WAS,DB,J.Norman,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,WR,M.Harris,,,,,,,,,,0.0,,,12.0,2.0,0.0,0.0,,,,,,,,,,,
12.0,WAS,TE,N.Paul,,,,,,,,,,0.0,,,16.0,3.0,0.0,0.0,,,,,,,,,,,
12.0,WAS,WR,J.Doctson,,,,,,,,,,0.0,,,28.0,2.0,1.0,0.0,,,,,,,,,,,
12.0,NYG,LB,K.Sheppard,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12.0,WAS,RB,B.Marshall,,,,,,,,,,0.0,,,12.0,1.0,0.0,0.0,,,18.0,,,0.0,,0.0,,,
12.0,NYG,WR,K.Raymond,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
